u_id,b_id,a_id,name,average_rating,ratings_count,text_reviews_count
1345592,9597,2778055,Kurt Vonnegut,4.04,1726838,49761
1345592,9594,2778055,Kurt Vonnegut,4.04,1726838,49761
1345592,4982,2778055,Kurt Vonnegut,4.04,1726838,49761
1345592,4985,2778055,Kurt Vonnegut,4.04,1726838,49761
1345592,135479,2778055,Kurt Vonnegut,4.04,1726838,49761
1345592,4980,2778055,Kurt Vonnegut,4.04,1726838,49761
1345592,4981,2778055,Kurt Vonnegut,4.04,1726838,49761
1345592,5759,2546,Chuck Palahniuk,3.83,1070602,44891
1345592,29059,2546,Chuck Palahniuk,3.83,1070602,44891
1345592,22283,2546,Chuck Palahniuk,3.83,1070602,44891
1345592,22290,2546,Chuck Palahniuk,3.83,1070602,44891
1345592,22206,2546,Chuck Palahniuk,3.83,1070602,44891
1345592,22284,2546,Chuck Palahniuk,3.83,1070602,44891
1345592,22288,2546,Chuck Palahniuk,3.83,1070602,44891
1345592,3717,2546,Chuck Palahniuk,3.83,1070602,44891
1345592,22289,2546,Chuck Palahniuk,3.83,1070602,44891
1345592,4671,3190,F. Scott Fitzgerald,3.86,2626640,59018
1345592,5107,819789,J.D. Salinger,3.82,2140411,47763
1345592,76778,1630,Ray Bradbury,3.99,1429791,47280
1345592,16631,1113469,Hermann Hesse,4.00,564044,17204
1345592,9602,2778055,Kurt Vonnegut,4.04,1726838,49761
1345592,9593,2778055,Kurt Vonnegut,4.04,1726838,49761
1345592,22285,2546,Chuck Palahniuk,3.83,1070602,44891
1345592,92057,17435,Malcolm X,4.28,101348,3321
1345592,227463,5735,Anthony Burgess,3.98,448286,10313
1345592,5129,3487,Aldous Huxley,3.96,1096102,21291
1345592,1840511,2546,Chuck Palahniuk,3.83,1070602,44891
1345592,13519,1113469,Hermann Hesse,4.00,564044,17204
1345592,5954,1113469,Hermann Hesse,4.00,564044,17204
1345592,24861,1113469,Hermann Hesse,4.00,564044,17204
1345592,4979,2778055,Kurt Vonnegut,4.04,1726838,49761
1345592,9590,2778055,Kurt Vonnegut,4.04,1726838,49761
1345592,9592,2778055,Kurt Vonnegut,4.04,1726838,49761
2418345,7263429,3041100,Andrea Cremer,4.03,155071,12003
2418345,15752800,6438073,Jayton Young,3.55,1032,107
2418345,15742424,6438073,Jayton Young,3.55,1032,107
2418345,15827217,5767237,Cherie Nicholls,3.74,804,94
2418345,11267645,4537129,K.R. Smith,3.57,3106,234
2418345,16118160,6567915,Pamela Ann,4.01,61790,4482
2418345,7862725,3420702,Keary Taylor,3.92,38502,3317
2418345,15818829,4293114,Kristen Middleton,3.72,23268,1858
2418345,12962374,5171573,C.K. Bryant,4.04,4256,354
2418345,12304615,5096013,P.A. Lupton,3.73,919,211
2418345,12801856,5254679,Kira Saito,3.94,10825,616
2418345,11042027,153738,Cynthia Eden,4.02,122951,10549
2418345,16120595,5189455,H.D. Gordon,4.01,7414,981
2418345,13500089,5189455,H.D. Gordon,4.01,7414,981
2418345,13162861,5189455,H.D. Gordon,4.01,7414,981
2418345,12570845,5189455,H.D. Gordon,4.01,7414,981
2418345,16169205,5101707,Kathleen Brooks,4.28,54151,3061
2418345,14418714,5101707,Kathleen Brooks,4.28,54151,3061
2418345,12276566,5101707,Kathleen Brooks,4.28,54151,3061
2418345,14417571,5101707,Kathleen Brooks,4.28,54151,3061
2418345,13485330,5138153,T.L. Shreffler,4.20,8210,715
2418345,11667559,3510444,Kimberley Reeves,3.73,4038,377
2418345,16102879,5014564,Quinn Loftis,4.38,111473,7096
2418345,15733738,5014564,Quinn Loftis,4.38,111473,7096
2418345,13489518,5014564,Quinn Loftis,4.38,111473,7096
2418345,13363270,5014564,Quinn Loftis,4.38,111473,7096
2418345,13070346,5014564,Quinn Loftis,4.38,111473,7096
2418345,6048595,1378808,Marisa Chenery,3.81,18463,768
2418345,7244827,2905789,Catherine Bybee,3.98,73399,4787
2418345,9609429,4435742,Sarra Cannon,4.09,31797,2470
2418345,16007975,5264870,Lacey Wolfe,3.83,2875,789
2418345,16029238,6519859,Brenda K. Davies,3.90,15166,1199
2418345,15846909,6519859,Brenda K. Davies,3.90,15166,1199
2418345,16036868,6421004,Lana Davison,3.53,228,51
2418345,13382965,5433693,Caryn Moya Block,3.98,2502,128
2418345,17371701,6572084,Mary Goldberger,3.96,503,40
2418345,16128346,6572084,Mary Goldberger,3.96,503,40
2418345,10103247,4553289,Jennifer T. Alli,3.97,2270,78
2418345,6433665,2916787,Crissy Smith,3.67,7860,351
2418345,12824297,4723587,Leia Shaw,3.94,4568,665
2418345,10183211,4558309,Lizzy Ford,4.16,38507,4714
2418345,11098030,1563059,Katie Reus,4.00,37632,4831
2418345,13367528,4700417,Tammy Blackwell,4.10,19482,1404
2418345,13354283,4700417,Tammy Blackwell,4.10,19482,1404
2418345,2170903,100752,Donita K. Paul,4.06,31000,1438
2418345,1189399,100752,Donita K. Paul,4.06,31000,1438
2418345,616694,100752,Donita K. Paul,4.06,31000,1438
2418345,238968,100752,Donita K. Paul,4.06,31000,1438
2418345,15781433,5047249,Alyssa Rose Ivy,3.99,46547,3522
2418345,8349348,3486415,Amanda Hocking,3.96,341191,24330
2418345,8177526,3486415,Amanda Hocking,3.96,341191,24330
2418345,10657638,4167378,Samantha Young,4.19,389924,27517
